geoid,pop_women,pop,pop_white,pop_black,pop_natam,pop_asian,pop_pacific,pop_hisplat,pop_edu_total,pop_edu_no_hs,pop_edu_hs,pop_edu_some_college,pop_edu_college,pop_edu_grad,employees_muni,employees_state,employees_fed,median_income,income_inequality,pop_labor_force,pop_unemployed,median_monthly_housing_cost,pop_age_65_plus,pop_some_college
250250001001,0.5108096651123357,2359,0.3933870284018652,0.09283594743535396,0,0.3798219584569733,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48098,NA,1279,0.07036747458952307,NA,0.1271725307333616,NA
250250001002,0.5592,1250,0.8168,0.0224,0,0.136,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92367,NA,856,0.054906542056074766,NA,0.068,NA
250250001003,0.43583815028901735,865,0.784971098265896,0.027745664739884393,0,0.14219653179190753,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130987,NA,586,0.040955631399317405,NA,0.10289017341040463,NA
250250001004,0.4907801418439716,1410,0.6432624113475177,0.1276595744680851,0,0.04113475177304964,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98523,NA,1073,0.027958993476234855,NA,0.05177304964539007,NA
250250002011,0.5643086816720257,1244,0.7258842443729904,0.01527331189710611,0,0.1527331189710611,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88750,NA,913,0,NA,0.07315112540192927,NA
250250002012,0.4741847826086957,736,0.7391304347826086,0,0,0.09782608695652174,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120500,NA,477,0.010482180293501049,NA,0.05434782608695652,NA
250250002013,0.4619883040935672,1197,0.9289891395154553,0.02756892230576441,0,0.03341687552213868,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92143,NA,950,0.03894736842105263,NA,0.0985797827903091,NA
250250002014,0.619198312236287,948,0.6466244725738397,0.14240506329113925,0,0.05590717299578059,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86000,NA,707,0.02545968882602546,NA,0.04746835443037975,NA
250250002021,0.4483726150392817,1782,0.8322109988776656,0.038159371492704826,0,0.037598204264870934,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107202,NA,1290,0.06124031007751938,NA,0.06790123456790123,NA
250250002022,0.5202702702702703,888,0.7308558558558559,0.033783783783783786,0,0.22747747747747749,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94185,NA,661,0,NA,0.10472972972972973,NA
250250002023,0.4569247546346783,917,0.8080697928026173,0,0,0.1559432933478735,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101573,NA,492,0.06300813008130081,NA,0.062159214830970554,NA
