geoid,pop_women,pop,pop_white,pop_black,pop_natam,pop_asian,pop_pacific,pop_hisplat,pop_edu_total,pop_edu_no_hs,pop_edu_hs,pop_edu_some_college,pop_edu_college,pop_edu_grad,employees_muni,employees_state,employees_fed,median_income,income_inequality,pop_labor_force,pop_unemployed,median_monthly_housing_cost,pop_age_65_plus,pop_some_college
25025000100,0.5052685248130524,5884,0.6007817811012917,0.07664853840924542,0,0.2119306594153637,0,0.12236573759347383,4394,508,975,547,1444,920,0.018184908225696805,0.01937457511896669,0.01937457511896669,90980,0.4207,3794,0.05034264628360569,1862,0.09296397008837526,0.49473147518694766
25025000201,0.5311515151515152,4125,0.768969696969697,0.04533333333333334,0,0.08606060606060606,0,0.07660606060606061,3074,129,308,529,1355,753,0.044848484848484846,0.013575757575757576,0.012606060606060607,93583,0.3787,3047,0.019691499835904167,2111,0.07127272727272728,0.6392727272727273
25025000202,0.49316296794440706,4461,0.7065680340730778,0.05850706119704102,0,0.10266756332660838,0,0.2705671374131361,2842,414,371,590,936,531,0.02376148845550325,0.01658820892176642,0.01165657924232235,79783,0.4363,2699,0.05261207854761023,1896,0.07868190988567586,0.4611073750280206
25025000301,0.44567338972023424,3074,0.719583604424203,0.09466493168510084,0,0.08653220559531555,0,0.13565387117761873,2305,103,466,228,1085,423,0.03383214053350683,0.025699414443721535,0.004554326610279766,126845,0.3235,2104,0.013307984790874524,2231,0.09921925829538061,0.564736499674691
25025000302,0.5088482738613287,3447,0.6846533217290397,0.08558166521612996,0,0.16042935886277923,0.013635044966637656,0.10850014505366985,2609,207,176,443,947,836,0.03568320278503046,0.023208587177255584,0.00725268349289237,101958,0.4426,2324,0.03442340791738382,2053,0.12764722947490573,0.6457789382071366
25025000401,0.516502808988764,5696,0.7524578651685393,0.03493679775280899,0,0.16889044943820225,0,0.09427668539325842,4608,331,410,702,1955,1210,0.046875,0.016502808988764044,0.005091292134831461,72739,0.4515,4046,0.03163618388531883,1610,0.21137640449438203,0.6788974719101124
25025000402,0.5024324324324324,3700,0.7662162162162162,0.017297297297297298,0,0.12783783783783784,0,0.10054054054054054,2660,107,136,259,1161,997,0.026756756756756758,0.008108108108108109,0.0016216216216216215,94063,0.3669,2527,0.03957261574990107,1907,0.0945945945945946,0.6532432432432432
25025000502,0.5611913357400722,5540,0.8104693140794224,0.02454873646209386,0.0019855595667870036,0.11444043321299639,0,0.10523465703971119,2244,31,138,203,963,909,0.0092057761732852,0.017509025270758122,0.00884476534296029,65455,0.5123,3237,0.02903923385851097,1735,0.07256317689530686,0.37454873646209386
25025000503,0.5347388596070916,2087,0.7570675610924772,0.025874460948730235,0.008624820316243412,0.1336847149017729,0,0.04599904168663153,1674,16,107,128,704,719,0.041207474844274075,0.008624820316243412,0,74242,0.3317,1617,0.04514533085961658,1764,0.09295639674173455,0.7431720172496407
25025000504,0.5478927203065134,4959,0.740673522887679,0.029643073200241985,0.012502520669489817,0.17846339987900786,0,0.08388788062109297,3961,248,390,514,1469,1340,0.019157088122605363,0.008671103044968743,0.004839685420447671,62148,0.4351,3236,0.06118665018541409,1724,0.19157088122605365,0.6700947771728171
25025000601,0.45813586097946285,3798,0.718272775144813,0.038704581358609796,0,0.14691943127962084,0,0.09662980516061084,2939,162,380,436,1334,627,0.013428120063191154,0.0018430753027909425,0.0039494470774091624,87500,0.4021,2902,0.028600964851826328,1715,0.08346498156924698,0.6311216429699842
25025000602,0.5505050505050505,4158,0.5529100529100529,0.05315055315055315,0.010101010101010102,0.2101972101972102,0,0.19937469937469937,2961,252,548,484,906,771,0.0367965367965368,0.002405002405002405,0.004329004329004329,40781,0.5854,2524,0.030110935023771792,1523,0.12241462241462242,0.5197210197210197
25025000701,0.5059523809523809,4368,0.6865842490842491,0.08356227106227106,0.01076007326007326,0.16826923076923078,0,0.10416666666666667,3379,152,272,414,1316,1225,0.018772893772893772,0.020833333333333332,0,67181,0.4233,3509,0.039897406668566546,1791,0.08104395604395605,0.676510989010989
25025000703,0.5064356435643564,2020,0.5742574257425742,0.040594059405940595,0,0.3222772277227723,0,0.1311881188118812,1101,31,19,137,419,495,0.027227722772277228,0.016336633663366337,0.019306930693069307,43163,0.4998,1399,0.055039313795568263,1703,0.02574257425742574,0.5202970297029703
25025000704,0.5450085324232082,4688,0.4737627986348123,0.08852389078498293,0,0.32060580204778155,0,0.11241467576791808,3281,57,215,392,1143,1474,0.013651877133105802,0.0031996587030716723,0,63761,0.414,3149,0.013972689742775483,1761,0.013651877133105802,0.6418515358361775
25025000802,0.4362035517087002,6701,0.5815549917922698,0.05745411132666766,0.0061184897776451275,0.2019101626622892,0,0.1623638262945829,4279,463,515,658,1731,912,0.017161617669004627,0.008655424563497986,0.00522310102969706,60772,0.533,4505,0.04927857935627081,1956,0.05536487091478884,0.4926130428294284
25025000803,0.5512645249487355,5852,0.6173957621326043,0.07877648667122351,0.0011961722488038277,0.2294941900205058,0,0.12064251537935748,1771,20,24,57,1045,625,0.0042720437457279565,0.004613807245386192,8.544087491455912e-4,54821,0.5243,2321,0.13916415338216287,2378,0.002563226247436774,0.2951127819548872
25025010103,0.5518176885512751,3686,0.6405317417254477,0.032284319045035266,8.138903960933261e-4,0.25610417797069995,0,0.15708084644601195,497,2,16,67,218,194,0.004612045577862181,0.008138903960933261,0,32464,0.6661,1801,0.20155469183786784,1695,0.00352685838307108,0.1299511665762344
25025010104,0.5845323741007195,5004,0.6932454036770583,0.03537170263788969,0.001398880895283773,0.18005595523581136,0,0.08633093525179857,2286,87,234,82,856,1027,0.01298960831334932,0.010591526778577139,0.0035971223021582736,58750,0.5937,3102,0.06640876853642812,2125,0.0517585931254996,0.39268585131894485
25025010203,0.48874195854181557,5596,0.6131165117941386,0.057183702644746245,0.004288777698355968,0.22802001429592567,0,0.15564689063616868,3863,209,332,437,1445,1440,0,0.012866333095067906,0,41544,0.6274,3404,0.02262044653349001,2080,0.047533952823445316,0.593638313080772
25025010204,0.5543307086614173,3810,0.6913385826771653,0.028608923884514435,0.007086614173228346,0.21443569553805775,0.0015748031496062992,0.08241469816272966,1279,70,48,49,545,567,0.007086614173228346,0.002362204724409449,0.0026246719160104987,41667,0.5592,2201,0.09495683780099955,1769,0.011286089238845144,0.3047244094488189
25025010300,0.6451130629788825,5351,0.7465894225378434,0.05587740609231919,0,0.14072136049336573,9.344047841524949e-4,0.0726966922070641,531,17,35,36,208,235,0.005232666791253972,0.0033638572229489814,0.006727714445897963,43313,0.4404,2843,0.12627506155469576,1893,0.006353952532236965,0.089515978321809
25025010403,0.4936432982201235,2753,0.5811841627315656,0.11805303305484925,0.00944424264438794,0.19179077370141664,0,0.16345804576825282,2012,178,270,375,474,715,0.010170722847802398,0.01452960406828914,0,31071,0.6,1691,0.140153755174453,1910,0.1518343625136215,0.5681075190701054
25025010404,0.5460564751703992,5135,0.6013631937682571,0.033106134371957155,0.0013631937682570595,0.2673807205452775,0.029211295034079845,0.08802336903602727,1090,85,136,168,300,401,0.004089581304771178,0.009152872444011684,0.001557935735150925,26875,0.6097,2562,0.19047619047619047,1885,0.022979552093476144,0.16923076923076924
25025010405,0.5316245006657789,6008,0.6284953395472703,0.11684420772303596,0.0034953395472703064,0.16910785619174434,0.0036617842876165113,0.12233688415446071,1064,209,228,198,309,120,0.011318242343541944,0.009653794940079893,0,19000,0.5478,3405,0.22290748898678414,767,0.0660785619174434,0.10436085219707057
25025010408,0.5490981963927856,1497,0.6519706078824316,0.12758851035404142,0,0.1730126920507682,0,0.12625250501002003,1111,0,44,119,344,604,0,0.006012024048096192,0.0033400133600534404,66389,0.4286,1083,0.027700831024930747,1966,0.03206412825651302,0.7127588510354042
25025010500,0.45150893641957224,3413,0.6850278347494873,0.08907119835921477,0,0.15382361558745972,0,0.17814239671842955,2073,127,129,208,786,823,0.004101963082332259,0.007031936712569587,0,54278,0.5631,1759,0.07447413303013076,2183,0.11456196894227952,0.5323762086141225
25025010600,0.5899621212121212,3168,0.6868686868686869,0.10606060606060606,0,0.19539141414141414,0,0.052714646464646464,2910,79,226,232,1001,1372,0.015151515151515152,0.003472222222222222,0.0031565656565656565,89886,0.6336,1966,0.014750762970498474,2733,0.20517676767676768,0.8222853535353535
25025010701,0.49391523289970624,2383,0.8375996642887117,0.015107007973143098,0.0037767519932857744,0.11456147712966848,0,0.09987410826689047,1740,2,5,141,818,774,0.00839278220730172,0,0.00839278220730172,117875,0.6014,1817,0.0275178866263071,2173,0.10323122114981116,0.7272345782626941
25025010702,0.5513765025203567,2579,0.9007367196587824,0.013183404420317953,0.0023264831329972858,0.04110120201628538,0,0.058937572702597904,2125,21,50,180,898,976,0.018611865063978286,0.009693679720822024,0.007367196587824738,163938,0.5616,1802,0.03551609322974473,2576,0.15199689802248934,0.7964327258627375
25025010801,0.5679546968687542,3002,0.8960692871419054,0.03530979347101932,0.0013324450366422385,0.05463024650233178,0,0.06395736175882745,2294,13,68,189,789,1235,0.005662891405729514,0.004996668887408394,0.009660226515656229,123594,0.5724,1944,0.04372427983539095,2536,0.17788141239173885,0.7371752165223184
25025010802,0.5040148239654108,3238,0.8665843113032736,0.004941321803582459,0,0.08307597282273008,0,0.11056207535515751,2649,42,118,180,1104,1205,0.0067943174799258805,0.004632489190858555,0.0033971587399629403,131518,0.5536,2387,0.03770423125261835,2376,0.09820877084620136,0.7686843730697962
25025020101,0.5300502512562814,4975,0.9165829145728643,0.010854271356783919,0,0.031155778894472363,0,0.061507537688442214,4201,74,113,149,1770,2095,0.031155778894472363,0.014673366834170854,0,118250,0.5323,3290,0.03252279635258359,2632,0.1628140703517588,0.8068341708542713
25025020200,0.5033482142857143,3584,0.8523995535714286,0.0234375,0,0.09263392857142858,0,0.05943080357142857,3080,95,55,209,1586,1135,0.005580357142857143,0.009486607142857142,0.015904017857142856,94172,0.4582,2937,0.009874021109976166,2074,0.09458705357142858,0.8175223214285714
25025020301,0.5830985915492958,2130,0.7615023474178404,0.022065727699530517,4.6948356807511736e-4,0.16948356807511736,0,0.17934272300469484,1773,31,178,134,408,1022,0.0032863849765258214,0.00892018779342723,0,76563,0.5445,1390,0.02877697841726619,2279,0.20422535211267606,0.7342723004694836
25025020302,0.4885215794306703,1089,0.8852157943067034,0,0,0.08356290174471992,0,0.05601469237832874,922,0,0,41,459,422,0.03948576675849403,0.028466483011937556,0.004591368227731864,145625,0.4868,805,0.07453416149068323,2347,0.13406795224977044,0.8466483011937558
25025020303,0.44575629316106036,4489,0.7551793272443751,0.09623524170193808,0.0017821341055914458,0.0768545333036311,0,0.1015816440187124,3910,302,288,381,1325,1614,0.014257072844731567,0.014034306081532635,0.002450434395188238,106293,0.5119,2630,0.025095057034220533,2885,0.12519492091779907,0.7395856538204499
25025030100,0.4877396344181899,2243,0.9505127061970575,0,0.0057958091841284,0.018724921979491754,0,0.09362460989745876,1813,84,120,85,886,638,0.004458314757021846,0.007579135086937138,0.007133303611234953,102426,0.3948,1737,0,1889,0.09362460989745876,0.717342844404815
25025030200,0.48092967818831944,1678,0.9064362336114422,0.014302741358760428,0,0.05363528009535161,0,0.057210965435041714,1396,41,122,130,785,318,0.03396901072705602,0.029797377830750895,0.010727056019070322,95703,0.4421,1349,0.01630837657524092,2039,0.09833134684147796,0.7348033373063171
25025030300,0.4532947139753802,5524,0.8006879073135409,0.07060101375814627,7.24112961622013e-4,0.0887038377986966,0.005068790731354091,0.04344677769732078,4606,219,280,815,1556,1736,0.0012671976828385228,0.016835626357711804,0.002715423606082549,143153,0.5519,3616,0.0860066371681416,2885,0.195329471397538,0.7434829833454019
25025030400,0.5021404109589042,2336,0.9413527397260274,0.006421232876712328,0,0.0175513698630137,0,0.0642123287671233,1926,15,123,201,1076,511,0.007277397260273972,0.018407534246575343,0.008133561643835616,100281,0.4797,1953,0.01945724526369688,1892,0.08347602739726027,0.7654109589041096
25025030500,0.5666131621187801,2492,0.8980738362760835,0.008426966292134831,0,0.045746388443017656,0,0.06340288924558588,2001,45,158,230,879,689,0.029293739967897272,0.013643659711075442,0.03210272873194221,117500,0.5512,1927,0.009859885832900882,2323,0.14606741573033707,0.7215088282504013
25025040100,0.5421785421785422,2442,0.9701064701064701,0,0,0.020884520884520884,0,0.0343980343980344,2054,74,219,305,864,592,0.03276003276003276,0.015151515151515152,0.006142506142506142,152917,0.4962,1483,0.016183412002697236,2355,0.2031122031122031,0.7211302211302212
25025040200,0.5336708860759494,1975,0.6648101265822784,0.15443037974683543,0,0.08607594936708861,0,0.21873417721518987,1301,166,284,166,343,342,0.026835443037974683,0.002531645569620253,0.009113924050632912,65500,0.5806,952,0.045168067226890755,1418,0.08607594936708861,0.43088607594936706
25025040300,0.5629153269024652,4665,0.845016077170418,0.08467309753483387,0,0.039013933547695605,0,0.10996784565916398,3420,180,363,166,1280,1431,0.046516613076098605,0.033654876741693464,0.0027867095391211146,140313,0.4187,3039,0.007897334649555774,2291,0.08660235798499465,0.6167202572347267
25025040401,0.5121457489878543,2964,0.8201754385964912,0.053643724696356275,0,0.07692307692307693,0,0.06275303643724696,2190,164,375,333,701,617,0.037786774628879895,0.011808367071524967,0.015182186234817813,120234,0.4831,1744,0.016628440366972478,1690,0.09143049932523617,0.5570175438596491
25025040600,0.46450662739322535,3395,0.8848306332842415,0.05213549337260678,0,0.02857142857142857,0,0.03917525773195876,2649,39,213,250,1066,1081,0.05066273932253314,0.019440353460972018,0.01678939617083947,142563,0.3785,2471,0.01254552812626467,2567,0.08630338733431517,0.706038291605302
25025040801,0.5484378512025174,4449,0.6048550236008091,0.1177792762418521,0,0.19892110586648684,0,0.1910541694762868,3455,569,608,436,733,1109,0.017082490447291526,0.010114632501685773,0.021353113059114408,54917,0.6291,2455,0.04684317718940937,1260,0.12227466846482356,0.5120251741964487
25025050101,0.4741867043847242,5656,0.5786775106082037,0.022807637906647808,0.01272984441301273,0.06824611032531824,0,0.6073196605374823,3835,1224,890,671,692,358,0.026343705799151344,0.02333804809052334,0,51230,0.5,3213,0.10208527855586678,1286,0.08274398868458274,0.3042786421499293
25025050200,0.4530019254332225,5713,0.5223175214423246,0.029931734640294066,0.017153859618414143,0.05653772098722212,0.003500787677227376,0.6751269035532995,3785,1126,1105,449,772,333,0.015053387012077717,0.011902678102573078,0.009277087344652548,60739,0.4435,3427,0.029180040852057193,1621,0.07369158060563627,0.27201120252056715
25025050300,0.4998216196931859,2803,0.6489475561897966,0.11844452372458081,0.003210845522654299,0.09489832322511595,0,0.425972172672137,1993,529,437,501,324,202,0.013913663931501962,0.011416339636104174,0.0021405636817695326,26842,0.5835,1302,0.06912442396313365,785,0.16696396717802356,0.3663931501962183
25025050400,0.419877408056042,2284,0.7727670753064798,0.017075306479859893,0.0070052539404553416,0.03152364273204904,0,0.5026269702276708,1923,361,546,299,442,275,0.03327495621716287,0.011821366024518389,0,67045,0.4568,1681,0.04283164782867341,1741,0.11996497373029773,0.4448336252189142
25025050500,0.5302897278314311,2278,0.6812993854258121,0.040825285338015806,0,0.040825285338015806,0,0.5456540825285338,1458,429,254,112,312,351,0.04477611940298507,0.011852502194907815,0.009218612818261633,58910,0.3533,1424,0.07092696629213484,1647,0.061457418788410885,0.3402107111501317
25025050600,0.460298266827892,2481,0.6735187424425635,0.05804111245465538,0,0.01894397420395002,0,0.6275695284159613,1814,541,492,217,385,179,0.032648125755743655,0.005642885933091495,0.004433696090286175,67841,0.4479,1786,0.0167973124300112,1486,0.03385731559854897,0.3147924224103184
25025050700,0.40146245764223293,5607,0.5564472980203318,0.01337613697164259,0,0.011771000535045479,0,0.702693062243624,3990,1699,969,245,738,339,0.0098091671125379,0.006420545746388443,0.002318530408418049,68384,0.3832,3501,0.024850042844901457,1755,0.06456215444979489,0.23577670768682005
25025050901,0.44255504687159364,4587,0.5798997165903641,0.004578155657292348,0,0.032047089601046436,0,0.6869413560061042,3338,1176,1121,456,350,235,0.014170481796381078,0.018094615216917374,0,56141,0.4402,3007,0.06385101429996674,1616,0.05253978635273599,0.22694571615434925
25025051000,0.5443761914848549,4721,0.6295276424486338,0.034102944291463676,0,0.05655581444609193,0.006142766363058674,0.4126244439737344,3457,424,1338,893,488,314,0.04702393560686295,0.028595636517686932,0.010379156958271553,54174,0.5235,2710,0.05571955719557196,1384,0.12454988349925863,0.35903410294429144
25025051101,0.48393391440093664,7687,0.6563028489657864,0.028619747625861846,0,0.05385716144139456,0,0.5409132301287889,5553,1268,2008,920,1010,347,0.03616495381813451,0,0.01014700143098738,69145,0.4248,4774,0.07100963552576456,1752,0.11434890074151165,0.2962143879276701
25025051200,0.48631717771183647,3033,0.7589845037916254,0.01945268710847346,0.006264424662050775,0.029014177382129903,0,0.3241015496208375,2438,412,565,363,778,320,0.025717111770524232,0.008572370590174745,0.008572370590174745,83952,0.3926,2019,0.018325903912828134,1648,0.10880316518298715,0.4817012858555885
25025060101,0.45389317034281157,3763,0.9763486579856497,0.009832580387988307,0,0.0047834174860483655,0,0.014350252458145097,3058,79,423,296,1365,895,0.08105235184693065,0.025511559925591284,0.010364071219771459,132305,0.3798,2758,0.01740391588107324,2441,0.0837098060058464,0.6792452830188679
25025060200,0.5178316690442225,2103,0.9847836424155968,0.004755111745126011,0,0.0023775558725630053,0,0.02330004755111745,1770,62,332,158,822,396,0.07370423204945316,0.02282453637660485,0.0019020446980504042,140592,0.3783,1629,0.01841620626151013,2198,0.10413694721825963,0.6543033761293391
25025060301,0.5726518597805726,3737,0.9427348140219427,0.004281509232004281,0,0.004549103559004549,0,0.05351886540005352,3139,104,451,345,1455,784,0.03559004549103559,0.01792881990901793,0.010971367407010971,134792,0.4395,2759,0.014498006524102935,2392,0.10703773080010703,0.6914637409686915
25025060400,0.5259694059053718,5622,0.936677339025258,0.0208110992529349,0,0.03112771255780861,0,0.025613660618996798,5061,163,542,659,2676,1021,0.05460690145855567,0.008182141586623977,0.02543578797580932,135750,0.3534,3976,0.02112676056338028,2239,0.13144788331554608,0.7748132337246532
25025060501,0.459166862791245,4249,0.9044481054365733,0.012944222169922335,0,0.06683925629559896,0,0.040480112967757116,3494,126,226,443,1813,886,0.017180513061896916,0.015533066603906801,0.027535890797834785,137554,0.3677,3355,0.030700447093889718,2194,0.06354436337961873,0.7394681101435632
25025060600,0.44497837578087457,4162,0.8426237385872177,0.026189332051898127,0,0.10211436809226333,0,0.028592023065833735,3826,80,250,327,1762,1407,0.029072561268620855,0.01585776069197501,0.006967803940413263,155379,0.4904,3376,0.017772511848341232,3007,0.08505526189332052,0.8399807784718886
25025060700,0.5745013687915526,2557,0.2287837309346891,0.3734845522096206,0,0.07078607743449354,0,0.44857254595228785,1417,558,385,356,118,0,0.02072741493938209,0,0,18179,0.5012,928,0.14870689655172414,442,0.07743449354712553,0.18537348455220962
25025060800,0.532168726033234,4694,0.8438432040903281,2.1303792074989347e-4,0,0.11504047720494248,0,0.05496378355347252,4261,352,493,373,2009,1034,0.08052833404345973,0.018534299105240733,0.006817213463996591,124545,0.4189,3539,0.011302627860977677,2181,0.09778440562420111,0.7277375372816361
25025061000,0.4759341355288157,3158,0.6424952501583281,0.22514249525015834,0,0.031982267257758074,0,0.2868904369854338,2157,308,624,427,585,213,0.02564914502849905,0.01551614946168461,0.004749841671944269,38056,0.5745,1781,0.09882088714205503,866,0.06016466117796074,0.38790373654211524
25025061101,0.575704989154013,2305,0.3813449023861171,0.2672451193058568,0,0.16919739696312364,0,0.38004338394793924,1514,456,510,219,304,25,0.004338394793926247,0.016919739696312365,0.005639913232104121,15576,0.6038,1057,0.17313150425733206,414,0.07245119305856833,0.23774403470715835
25025061200,0.424956369982548,4584,0.8861256544502618,0.01025305410122164,2.181500872600349e-4,0.08027923211169284,0,0.05650087260034904,3860,142,253,325,1709,1431,0.032722513089005235,0.017015706806282723,0.01025305410122164,153869,0.4451,3877,0.0590662883672943,2503,0.04363001745200698,0.7558900523560209
25025070101,0.4943987042785801,7409,0.6110136320691052,0.02011067620461601,0,0.31907139964907544,0,0.09232015116749899,5107,642,545,389,1192,2339,0.01498177891753273,0.006478607099473613,0.004319071399649076,85333,0.6219,4464,0.08221326164874553,2630,0.11715481171548117,0.5290862464570117
25025070200,0.5847757305043737,5373,0.3897264098269123,0.042992741485203795,0.006700167504187605,0.5298715801228364,0,0.03275637446491718,3009,1102,520,195,579,613,0.010236367020286618,0.006700167504187605,0.0027917364600781687,28646,0.6835,2493,0.08864821500200562,1034,0.16862088218872137,0.258142564675228
25025070300,0.5044943820224719,4450,0.7824719101123595,0.013932584269662922,0,0.11887640449438203,0,0.0703370786516854,3710,220,279,218,1208,1785,0.021348314606741574,0.0033707865168539327,0.011910112359550562,115887,0.5417,3058,0.014388489208633094,1880,0.16853932584269662,0.7215730337078652
25025070402,0.533135875601629,2701,0.37911884487226954,0.12365790447982229,0.00777489818585709,0.4420584968530174,0,0.07404664938911515,2249,570,396,303,488,492,0.0136986301369863,0.007034431691965938,0.0022213994816734544,36333,0.5975,1424,0.05758426966292135,1400,0.2028878193261755,0.47500925583117365
25025070500,0.5035084716755092,5843,0.5647783672770836,0.06931370871127845,0.005134348793428034,0.19305151463289405,0,0.2185521136402533,4554,646,387,565,1268,1688,0.019510525415026528,0.011466712305322608,0,62717,0.6316,3680,0.06657608695652174,1574,0.11894574704774945,0.6026014033886702
25025070600,0.5495784825371337,2491,0.832597350461662,0.04897631473303894,0,0.07788036932958652,0,0.059012444801284626,2025,34,60,167,870,894,0.03613006824568447,0.014050582095543959,0.013649136892814131,160750,0.5044,1695,0.008259587020648967,2753,0.11963067041348856,0.7751906864712966
25025070700,0.5452167414050823,2676,0.6532137518684604,0.18684603886397608,0,0.0945440956651719,0.018310911808669655,0.08632286995515695,2261,150,270,293,702,846,0.018310911808669655,0.021300448430493273,0.008968609865470852,134085,0.5591,1742,0.05970149253731343,2470,0.148355754857997,0.6879671150971599
25025070800,0.5307200444815123,3597,0.7142062830136224,0.18042813455657492,0,0.08395885460105644,0,0.1042535446205171,3125,257,386,253,1145,1084,0.009452321378926884,0.015012510425354461,0.007506255212677231,94653,0.5361,2740,0.0364963503649635,2588,0.0961912705031971,0.6900194606616625
25025070900,0.6366538952745849,3132,0.6385696040868455,0.22158365261813537,0,0.06577266922094509,0,0.19157088122605365,2278,313,281,292,521,871,0.02713920817369093,0.005427841634738187,0,53000,0.6068,2079,0.03318903318903319,1576,0.12675606641123882,0.5376756066411239
25025071101,0.48316582914572864,3980,0.5477386934673367,0.1329145728643216,0.0067839195979899495,0.18969849246231155,0,0.11934673366834171,3350,368,348,527,981,1126,0.01256281407035176,0.009547738693467337,0.004773869346733669,73995,0.5797,2287,0.06471359860078706,1737,0.0964824120603015,0.6618090452261306
25025071201,0.47365576871115916,3701,0.536341529316401,0.169954066468522,0.007295325587679005,0.11159146176708998,0,0.2964063766549581,2750,536,520,411,558,725,0.010537692515536342,0.0286409078627398,0,55179,0.6661,1876,0.15031982942430705,1411,0.18238313969197514,0.4577141313158606
25025080100,0.4074208803201164,2749,0.1822480902146235,0.5110949436158603,0.02364496180429247,0.016369588941433248,0,0.2724627137140778,1848,479,580,417,275,97,0.019643506729719897,0,0.017824663514005093,32258,0.47,891,0.10998877665544332,1271,0.08366678792288104,0.2870134594397963
25025080300,0.5732426303854875,2205,0.12154195011337869,0.7097505668934241,0.009523809523809525,0.024036281179138322,0,0.2530612244897959,1545,314,396,361,336,138,0.06394557823129252,0.02585034013605442,0.012244897959183673,42617,0.5002,1134,0.053791887125220456,1170,0.061224489795918366,0.3786848072562358
25025080401,0.46578947368421053,3040,0.19605263157894737,0.48157894736842105,0.0029605263157894738,0.02368421052631579,0,0.45394736842105265,1861,493,591,367,179,231,0.018421052631578946,0.008552631578947369,0.0029605263157894738,18602,0.6098,1267,0.11049723756906077,736,0.14407894736842106,0.2555921052631579
25025080500,0.5338888888888889,3600,0.13916666666666666,0.4661111111111111,0,0.05722222222222222,0,0.42388888888888887,1938,458,601,522,245,112,0.029722222222222223,0.0077777777777777776,0.006111111111111111,30047,0.514,1588,0.09130982367758186,581,0.08222222222222222,0.24416666666666667
25025080601,0.5594231725509696,4022,0.4318746892093486,0.2729985082048732,0.01268025857782198,0.2026355047240179,0,0.1461959224266534,1234,469,295,212,204,54,0.002486325211337643,0.003978120338140228,0.009696668324216808,17594,0.5994,2099,0.2553596950929014,904,0.05942317255096967,0.11685728493286922
25025080801,0.48023081855097244,4679,0.42124385552468474,0.2861722590297072,0,0.09831160504381278,0.0014960461637101945,0.3639666595426373,1913,669,364,616,214,50,0.010044881384911306,0.007052789057490917,0.008762556101731139,20500,0.517,2295,0.1991285403050109,596,0.04253045522547553,0.18807437486642445
25025080900,0.4143892916899052,3586,0.6489124372559956,0.05883993307306191,0.00864472950362521,0.228388176240937,0,0.10652537646402677,1891,58,150,275,686,722,0.002230897936419409,0.008365867261572783,0.005856107083100948,61528,0.4374,2221,0.03962179198559208,2153,0.08421639709983268,0.46932515337423314
25025081001,0.47432567432567435,5005,0.35104895104895106,0.22417582417582418,0,0.31088911088911086,0,0.21738261738261738,2805,650,518,494,556,587,0.013986013986013986,0.011988011988011988,0.008591408591408592,31917,0.4896,2604,0.057219662058371736,1307,0.12087912087912088,0.32707292707292707
25025081100,0.5021865889212828,4116,0.5789601554907677,0.1749271137026239,0,0.15160349854227406,0,0.13192419825072887,2984,285,459,434,864,942,0.025510204081632654,0.01044703595724004,0.0012147716229348883,57687,0.5038,2307,0.044213263979193757,1613,0.20068027210884354,0.54421768707483
25025081200,0.5832435344827587,3712,0.3186961206896552,0.3855064655172414,0,0.05172413793103448,0,0.4353448275862069,2525,690,586,446,516,287,0.0369073275862069,0,0.01993534482758621,24854,0.5671,1660,0.14337349397590363,591,0.0902478448275862,0.3364762931034483
25025081300,0.5692937563971341,4885,0.22640736949846468,0.44012282497441146,0,0.022722620266120777,0,0.44319344933469806,3545,1032,907,757,712,137,0.027226202661207777,0,0,16226,0.5786,2188,0.10283363802559416,571,0.2298874104401228,0.3287615148413511
