figure,cell_id,type,count,rate,panel,geometry,zone,pop_density_int
0,1,sites,0,0,NA,list(),NA,NA
0,1,community,0,0,NA,list(),NA,NA
0,1,library,0,0,NA,list(),NA,NA
0,1,community_center,0,0,NA,list(),NA,NA
0,1,city_hall,0,0,NA,list(),NA,NA
0,1,place_of_worship,0,0,NA,list(),NA,NA
0,1,parks,0,0,NA,list(),NA,NA
0,1,park,0,0,NA,list(),NA,NA
0,1,fountain,0,0,NA,list(),NA,NA
0,1,square,0,0,NA,list(),NA,NA
0,1,social,0,0,NA,list(),NA,NA
0,1,bookstore,0,0,NA,list(),NA,NA
0,1,cafe,0,0,NA,list(),NA,NA
0,1,coffeeshop,0,0,NA,list(),NA,NA
0,1,beauty_salon,0,0,NA,list(),NA,NA
0,1,barbershop,0,0,NA,list(),NA,NA
0,1,sports_field,0,0,NA,list(),NA,NA
0,1,recreation_center,0,0,NA,list(),NA,NA
0,1,aquarium,0,0,NA,list(),NA,NA
0,1,art_gallery,0,0,NA,list(),NA,NA
0,1,zoo,0,0,NA,list(),NA,NA
0,1,museum,0,0,NA,list(),NA,NA
0,1,garden,0,0,NA,list(),NA,NA
0,1,rec,0,0,NA,list(),NA,NA
0,2,sites,3,1.073255498751493,NA,list(),NA,NA
0,2,community,1,0.3577518329171643,NA,list(),NA,NA
0,2,library,0,0,NA,list(),NA,NA
0,2,community_center,0,0,NA,list(),NA,NA
0,2,city_hall,1,0.3577518329171643,NA,list(),NA,NA
0,2,place_of_worship,1,0.3577518329171643,NA,list(),NA,NA
0,2,parks,0,0,NA,list(),NA,NA
0,2,park,0,0,NA,list(),NA,NA
0,2,fountain,0,0,NA,list(),NA,NA
0,2,square,0,0,NA,list(),NA,NA
0,2,social,1,0.3577518329171643,NA,list(),NA,NA
0,2,bookstore,0,0,NA,list(),NA,NA
0,2,cafe,1,0.3577518329171643,NA,list(),NA,NA
0,2,coffeeshop,0,0,NA,list(),NA,NA
0,2,beauty_salon,0,0,NA,list(),NA,NA
0,2,barbershop,0,0,NA,list(),NA,NA
0,2,sports_field,0,0,NA,list(),NA,NA
0,2,recreation_center,0,0,NA,list(),NA,NA
0,2,aquarium,0,0,NA,list(),NA,NA
0,2,art_gallery,0,0,NA,list(),NA,NA
0,2,zoo,0,0,NA,list(),NA,NA
0,2,museum,0,0,NA,list(),NA,NA
0,2,garden,0,0,NA,list(),NA,NA
0,2,rec,0,0,NA,list(),NA,NA
0,3,sites,2,0.7576358250822832,NA,list(),NA,NA
0,3,community,0,0,NA,list(),NA,NA
0,3,library,0,0,NA,list(),NA,NA
0,3,community_center,0,0,NA,list(),NA,NA
0,3,city_hall,0,0,NA,list(),NA,NA
0,3,place_of_worship,0,0,NA,list(),NA,NA
0,3,parks,2,0.7576358250822832,NA,list(),NA,NA
0,3,park,2,0.7576358250822832,NA,list(),NA,NA
0,3,fountain,0,0,NA,list(),NA,NA
0,3,square,0,0,NA,list(),NA,NA
0,3,social,0,0,NA,list(),NA,NA
0,3,bookstore,0,0,NA,list(),NA,NA
0,3,cafe,0,0,NA,list(),NA,NA
0,3,coffeeshop,0,0,NA,list(),NA,NA
0,3,beauty_salon,0,0,NA,list(),NA,NA
0,3,barbershop,0,0,NA,list(),NA,NA
0,3,sports_field,0,0,NA,list(),NA,NA
0,3,recreation_center,0,0,NA,list(),NA,NA
0,3,aquarium,0,0,NA,list(),NA,NA
0,3,art_gallery,0,0,NA,list(),NA,NA
0,3,zoo,0,0,NA,list(),NA,NA
0,3,museum,0,0,NA,list(),NA,NA
0,3,garden,0,0,NA,list(),NA,NA
0,3,rec,0,0,NA,list(),NA,NA
0,4,sites,2,0.6324078945846079,NA,list(),NA,NA
0,4,community,0,0,NA,list(),NA,NA
0,4,library,0,0,NA,list(),NA,NA
0,4,community_center,0,0,NA,list(),NA,NA
0,4,city_hall,0,0,NA,list(),NA,NA
0,4,place_of_worship,1,0.31620394729230394,NA,list(),NA,NA
0,4,parks,1,0.31620394729230394,NA,list(),NA,NA
0,4,park,0,0,NA,list(),NA,NA
0,4,fountain,1,0.31620394729230394,NA,list(),NA,NA
0,4,square,0,0,NA,list(),NA,NA
0,4,social,0,0,NA,list(),NA,NA
0,4,bookstore,0,0,NA,list(),NA,NA
0,4,cafe,0,0,NA,list(),NA,NA
0,4,coffeeshop,0,0,NA,list(),NA,NA
0,4,beauty_salon,0,0,NA,list(),NA,NA
0,4,barbershop,0,0,NA,list(),NA,NA
0,4,sports_field,0,0,NA,list(),NA,NA
0,4,recreation_center,0,0,NA,list(),NA,NA
0,4,aquarium,0,0,NA,list(),NA,NA
0,4,art_gallery,0,0,NA,list(),NA,NA
0,4,zoo,0,0,NA,list(),NA,NA
0,4,museum,0,0,NA,list(),NA,NA
0,4,garden,0,0,NA,list(),NA,NA
0,4,rec,0,0,NA,list(),NA,NA
0,5,sites,7,2.3829247010248595,NA,list(),NA,NA
0,5,community,0,0,NA,list(),NA,NA
0,5,library,0,0,NA,list(),NA,NA
0,5,community_center,0,0,NA,list(),NA,NA
0,5,city_hall,0,0,NA,list(),NA,NA
0,5,place_of_worship,0,0,NA,list(),NA,NA
0,5,parks,6,2.0425068865927365,NA,list(),NA,NA
0,5,park,4,1.361671257728491,NA,list(),NA,NA
0,5,fountain,0,0,NA,list(),NA,NA
0,5,square,2,0.6808356288642455,NA,list(),NA,NA
0,5,social,1,0.34041781443212277,NA,list(),NA,NA
0,5,bookstore,0,0,NA,list(),NA,NA
