id,name,type,status,source,neighborhood,google_id,search,geometry,x,y,cell_id,zone
1,"""Adams Corner Café And Butcher""",Social Businesses,checked,google_api,Dorchester,ChIJH7jDgYR744kROOOa9Fm1uC0,cafe,"c(-71.055554, 42.28306)",-71.055554,42.28306,61,validation
3,[FoMu],Social Businesses,checked,google_api,Jamaica Plain,ChIJi1yMHW5544kRzXEObpdoVKU,cafe,"c(-71.114235, 42.314309)",-71.114235,42.314309,83,validation
4,10 Josephine Street Garden,Parks,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0655684, 42.3006327)",-71.0655684,42.3006327,78,validation
5,10 Post Office Square,Parks,checked,google_api,Downtown,ChIJPwxvHYRw44kRIjhtlgjat6o,square,"c(-71.05589, 42.357184)",-71.05589,42.357184,175,validation
8,21 Worcester Square,Parks,checked,google_api,South End,ChIJAUxASf5744kRi8graGAEgdE,square,"c(-71.0746617, 42.3365571)",-71.0746617,42.3365571,125,validation
9,"29 Josephine Street Garden
",Parks,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0641164, 42.3005093)",-71.0641164,42.3005093,78,validation
12,8090书店,Social Businesses,checked,google_api,Chinatown,ChIJc4RtRVR744kRNUXLAs1DGhc,bookstore,"c(-71.059875, 42.351692)",-71.059875,42.351692,163,validation
14,ABCD Parker Hill,Community Spaces,"new, visited",humancoding_fall,Mission Hill,NA,NA,"c(-71.09722719, 42.33123619)",-71.09722719,42.33123619,107,validation
17,Action Center,Community Spaces,checked,google_api,South Boston,ChIJTVaJhIl644kRvcqbNFWtXsw,community center,"c(-71.047225, 42.336739)",-71.047225,42.336739,146,validation
18,Adams Park,Parks,checked,google_api,Roslindale,ChIJh8eIksx-44kR5ymBUPIa55c,park,"c(-71.12844, 42.286534)",-71.12844,42.286534,44,boston
19,Adams Street Branch of the Boston Public Library,Community Spaces,checked,google_api,Dorchester,ChIJd1-PlZx744kR0dxsWOI9HSE,library,"c(-71.054475, 42.286328)",-71.054475,42.286328,70,validation
20,Adams-King Playground,Parks,checked,google_api,Dorchester,ChIJJQIDxJh744kRiOhx1PjejOs,park,"c(-71.056927, 42.29349)",-71.056927,42.29349,70,validation
21,Adath-Jeshurun Cemetery Associates,Places of Worship,new,humancoding_fall,West Roxbury,NA,NA,"c(-71.1558686, 42.2593589)",-71.1558686,42.2593589,15,boston
22,Advantage Hair Salon,Social Businesses,new,humancoding_fall,Downtown,NA,NA,"c(-71.0542727, 42.3548958)",-71.0542727,42.3548958,175,validation
24,Afrimerican Academy,Community Spaces,new,humancoding_fall,Roslindale,NA,NA,"c(-71.1204583, 42.2725222)",-71.1204583,42.2725222,34,boston
25,Al Festa Little League Field,Parks,new,humancoding_fall,East Boston,NA,NA,"c(-71.0198105, 42.3805875)",-71.0198105,42.3805875,208,boston
26,Alanna Nails,Social Businesses,new,humancoding_fall,Mattapan,NA,NA,"c(-71.0936964, 42.2777533)",-71.0936964,42.2777533,47,boston
27,Alex's babershop salon,Social Businesses,new,humancoding_fall,East Boston,NA,NA,"c(-71.0153511, 42.3839272)",-71.0153511,42.3839272,218,boston
28,Alexander the Great Park,Parks,checked,google_api,Roslindale,ChIJ6c3tEc1-44kRB0r9c0LmgvU,park,"c(-71.131055, 42.286932)",-71.131055,42.286932,44,boston
29,Alexandra Beauty Spa,Social Businesses,new,humancoding_fall,Roslindale,NA,NA,"c(-71.1290473, 42.2863557)",-71.1290473,42.2863557,44,boston
30,Alfond Memorial Spray Deck,Parks,new,humancoding_fall,West End,NA,NA,"c(-71.0700132, 42.3652031)",-71.0700132,42.3652031,174,validation
31,Alfred L. Bertulli Park,Parks,checked,google_api,East Boston,ChIJ8wq72w9x44kRXPuY48DohI4,park,"c(-71.039467, 42.374891)",-71.039467,42.374891,196,boston
33,Allan Crite Community Garden,Parks,"new, visited",humancoding_fall,Roxbury,NA,NA,"c(-71.0937031, 42.3272325)",-71.0937031,42.3272325,107,validation
35,Allandale Woods,Parks,checked,google_api,West Roxbury,ChIJawGgPi9544kRAz4DL1lYPLA,park,"c(-71.138559, 42.297975)",-71.138559,42.297975,54,boston
36,Allen Park,Parks,checked,google_api,Dorchester,ChIJyTOlQQd744kRIaSlSeFegZA,park,"c(-71.06312, 42.308142)",-71.06312,42.308142,87,validation
37,Allston Brighton Islamic Center,Places of Worship,new,humancoding_fall,Allston,NA,NA,"c(-71.1378989, 42.3541631)",-71.1378989,42.3541631,139,boston
38,Allston Congregational Church,Places of Worship,new,humancoding_fall,Allston,NA,NA,"c(-71.1344473, 42.351721)",-71.1344473,42.351721,140,boston
39,Allston Hispanic Seventh-Day Adventist Church,Places of Worship,new,humancoding_fall,Allston,NA,NA,"c(-71.1292658, 42.3605197)",-71.1292658,42.3605197,158,boston
40,Alpine Street Park,Parks,new,humancoding_fall,Roxbury,NA,NA,"c(-71.0867401, 42.3249362)",-71.0867401,42.3249362,96,validation
41,"Alrowda Mosque
",Places of Worship,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0797242, 42.3124059)",-71.0797242,42.3124059,86,validation
